id,name,species,gender,height,weight,hair_color,eye_color,skin_color,year_born,homeworld,year_died,description
1,Luke Skywalker,Human,Male,1.72,77.0,Blond,Blue,Light,19.0,Tatooine,34.0,The main protagonist of the original trilogy.
2,Leia Organa,Human,Female,1.5,49.0,Brown,Brown,Light,19.0,Alderaan,35.0,A leader in the Rebel Alliance and twin sister of Luke Skywalker.
3,Darth Vader,Human,Male,2.02,136.0,,Yellow,Pale,41.0,Tatooine,4.0,The Sith Lord formerly known as Anakin Skywalker.
4,Yoda,Yoda's species,Male,0.66,17.0,White,Brown,Green,896.0,Unknown,4.0,A wise and powerful Jedi Master.
5,Han Solo,Human,Male,1.8,80.0,Brown,Hazel,Light,29.0,Corellia,34.0,A smuggler turned hero in the Rebel Alliance.
6,Chewbacca,Wookiee,Male,2.28,112.0,Brown,Blue,Brown,200.0,Kashyyyk,,A loyal Wookiee and co-pilot of the Millennium Falcon.
7,Obi-Wan Kenobi,Human,Male,1.82,81.0,White,Blue-gray,Light,57.0,Stewjon,0.0,A Jedi Master who mentored Anakin and Luke Skywalker.
8,Emperor Palpatine,Human,Male,1.73,75.0,,Yellow,Pale,82.0,Naboo,35.0,The Sith Lord who became Emperor of the galaxy.
9,Anakin Skywalker,Human,Male,1.88,84.0,Blond,Blue,Light,41.0,Tatooine,4.0,A Jedi Knight who fell to the dark side and became Darth Vader.
10,Padmé Amidala,Human,Female,1.65,45.0,Brown,Brown,Light,46.0,Naboo,19.0,The queen-turned-senator of Naboo and wife of Anakin Skywalker.
11,Qui-Gon Jinn,Human,Male,1.93,89.0,Brown,Blue,Light,92.0,Coruscant,32.0,A Jedi Master who discovered Anakin Skywalker.
12,Mace Windu,Human,Male,1.88,84.0,,Brown,Dark,72.0,Haruun Kal,19.0,A Jedi Master and member of the Jedi High Council.
13,Jar Jar Binks,Gungan,Male,1.96,66.0,,Orange,Orange,52.0,Naboo,,A clumsy Gungan who became a representative in the Galactic Senate.
14,Count Dooku,Human,Male,1.93,80.0,White,Brown,Light,102.0,Serenno,19.0,"A former Jedi who became Darth Tyranus, a Sith Lord."
15,Rey,Human,Female,1.7,54.0,Brown,Hazel,Light,15.0,Jakku,,The main protagonist of the sequel trilogy.
16,Finn,Human,Male,1.78,73.0,Black,Brown,Dark,11.0,Unknown,,A former stormtrooper who joins the Resistance.
17,Poe Dameron,Human,Male,1.76,79.0,Brown,Brown,Light,2.0,Yavin 4,,A skilled pilot and commander in the Resistance.
18,Kylo Ren,Human,Male,1.89,89.0,Black,Brown,Light,5.0,Chandrila,35.0,A dark side user formerly known as Ben Solo.
19,BB-8,Droid,,,,,,White,,,,A spherical astromech droid.
20,C-3PO,Droid,,1.71,,,,Gold,112.0,Tatooine,,A protocol droid fluent in over six million forms of communication.
21,R2-D2,Droid,,0.96,,,,White/Blue,33.0,Naboo,,An astromech droid known for his bravery and resourcefulness.
22,Lando Calrissian,Human,Male,1.77,79.0,Black,Brown,Dark,31.0,Socorro,,A charming gambler and ally of the Rebel Alliance.
